,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
272,Gulshane Iqbal - Block 4A Prime Location 400 Sq Yards Single Storey West Open,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",House,PKR   4.1 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,16 Marla,For Sale,3,2 days ago,"Gulshan-e-Iqbal - Block 4A Prime Location 400 Sq yards single Story West Open 3 Beds, drawing /dining T. V Lounge American Kitchen Lush green Lawn Near Main Road Masjid Park 24/Hrs sweet water No ProblemFor more information please contact.", , Bedrooms: 3, , , , ,hot,Karachi-2-17,5/19/2019 0:26
273,West Open Brand New House Available On Booking In Spring Homes Ali Block,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,2 days ago,"Spring Homes: Most Luxurious House in the heart of Bahria town. - One Unit Bungalow ( Ground + 1st Floor) - Size 25x45- Modern Architect- 3 Bed With Attached Modern Bathroom- Spacious Lounge- Modern Kitchen- Dining Room, Drawing Room- Parking Spaces - Easy Payment Plan:- Total Cost : 1 Crore 30 Lac- Down Payment : 975,000- Allocation After One Month : 975,000- 20 Monthly Installment : (20* 4,55,000) 9,100,000- On Possession 15% : 1,950,000- Total Amount : 13,000,000Note: 10% discount on 100% payment up front, 05% discount on 50% payment up frontHighlights & Attractions Of Bharia Town Karachi:• Adjoining to 400 feet Jinnah Avenue• Close to World’s 3rd Largest Mosque• Backup Power Generation (Load-shedding Free)• World Class Architecture • Gated Housing Society • Landscaped Parks, Cycling & Jogging Tracks for Active Living• Mosques, Commercial Centers and Graveyards• Shuttle Transport• 25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway• 9Km from Super-Highway toll plaza• Master-planned gated community• Advanced security & rescue services• Pakistan’s largest shopping mall• 5-star international hotel & USGA standard golf course• Commercial areas• Gold-Class cinemas • State-of- the-art sports facilities• World-class school, college and International University• International standard hospital• International theme park, play-land and water-rides• Jamia mosque• Community sports club & zoo• International standard construction & infrastructure• Grid station & telephone-exchange • Transport system from Bahria Town to City Center• 100 % backup power (No Load-shedding)Spring Homes A Dream Comes True. We invite you in our open house to help us to celebrate this big accomplishment. For Overseas Pakistani Contact Us On WhatsappPlease quote Zameen. com when calling us."," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-17,5/19/2019 0:26
274,Brand New Spring Homes Available On Booking In Precinct 12,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,2 days ago,"Spring Homes: Most Luxurious House in the heart of Bahria town. - One Unit Bungalow ( Ground + 1st Floor) - Size 25x45- Modern Architect- 3 Bed With Attached Modern Bathroom- Spacious Lounge- Modern Kitchen- Dining Room, Drawing Room- Parking Spaces - Easy Payment Plan:- Total Cost : 1 Crore 30 Lac- Down Payment : 975,000- Allocation After One Month : 975,000- 20 Monthly Installment : (20* 4,55,000) 9,100,000- On Possession 15% : 1,950,000- Total Amount : 13,000,000Note: 10% discount on 100% payment up front, 05% discount on 50% payment up frontHighlights & Attractions Of Bharia Town Karachi:• Adjoining to 400 feet Jinnah Avenue• Close to World’s 3rd Largest Mosque• Backup Power Generation (Load-shedding Free)• World Class Architecture • Gated Housing Society • Landscaped Parks, Cycling & Jogging Tracks for Active Living• Mosques, Commercial Centers and Graveyards• Shuttle Transport• 25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway• 9Km from Super-Highway toll plaza• Master-planned gated community• Advanced security & rescue services• Pakistan’s largest shopping mall• 5-star international hotel & USGA standard golf course• Commercial areas• Gold-Class cinemas • State-of- the-art sports facilities• World-class school, college and International University• International standard hospital• International theme park, play-land and water-rides• Jamia mosque• Community sports club & zoo• International standard construction & infrastructure• Grid station & telephone-exchange • Transport system from Bahria Town to City Center• 100 % backup power (No Load-shedding)Spring Homes A Dream Comes True. We invite you in our open house to help us to celebrate this big accomplishment. For Overseas Pakistani Contact Us On WhatsappPlease quote Zameen. com when calling us."," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-17,5/19/2019 0:26
275,Spring Homes Available On Booking In Precinct 12,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,2 days ago,"Spring Homes: Most Luxurious House in the heart of Bahria town. - One Unit Bungalow ( Ground + 1st Floor) - Size 25x45- Modern Architect- 3 Bed With Attached Modern Bathroom- Spacious Lounge- Modern Kitchen- Dining Room, Drawing Room- Parking Spaces - Easy Payment Plan:- Total Cost : 1 Crore 30 Lac- Down Payment : 975,000- Allocation After One Month : 975,000- 20 Monthly Installment : (20* 4,55,000) 9,100,000- On Possession 15% : 1,950,000- Total Amount : 13,000,000Note: 10% discount on 100% payment up front, 05% discount on 50% payment up frontHighlights & Attractions Of Bharia Town Karachi:• Adjoining to 400 feet Jinnah Avenue• Close to World’s 3rd Largest Mosque• Backup Power Generation (Load-shedding Free)• World Class Architecture • Gated Housing Society • Landscaped Parks, Cycling & Jogging Tracks for Active Living• Mosques, Commercial Centers and Graveyards• Shuttle Transport• 25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway• 9Km from Super-Highway toll plaza• Master-planned gated community• Advanced security & rescue services• Pakistan’s largest shopping mall• 5-star international hotel & USGA standard golf course• Commercial areas• Gold-Class cinemas • State-of- the-art sports facilities• World-class school, college and International University• International standard hospital• International theme park, play-land and water-rides• Jamia mosque• Community sports club & zoo• International standard construction & infrastructure• Grid station & telephone-exchange • Transport system from Bahria Town to City Center• 100 % backup power (No Load-shedding)Spring Homes A Dream Comes True. We invite you in our open house to help us to celebrate this big accomplishment. For Overseas Pakistani Contact Us On WhatsappPlease quote Zameen. com when calling us."," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-17,5/19/2019 0:26
276,West Open Spring Homes Available On Booking In Precinct 12,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,2 days ago,"Spring Homes: Most Luxurious House in the heart of Bahria town. - One Unit Bungalow ( Ground + 1st Floor) - Size 25x45- Modern Architect- 3 Bed With Attached Modern Bathroom- Spacious Lounge- Modern Kitchen- Dining Room, Drawing Room- Parking Spaces - Easy Payment Plan:- Total Cost : 1 Crore 30 Lac- Down Payment : 975,000- Allocation After One Month : 975,000- 20 Monthly Installment : (20* 4,55,000) 9,100,000- On Possession 15% : 1,950,000- Total Amount : 13,000,000Note: 10% discount on 100% payment up front, 05% discount on 50% payment up frontHighlights & Attractions Of Bharia Town Karachi:• Adjoining to 400 feet Jinnah Avenue• Close to World’s 3rd Largest Mosque• Backup Power Generation (Load-shedding Free)• World Class Architecture • Gated Housing Society • Landscaped Parks, Cycling & Jogging Tracks for Active Living• Mosques, Commercial Centers and Graveyards• Shuttle Transport• 25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway• 9Km from Super-Highway toll plaza• Master-planned gated community• Advanced security & rescue services• Pakistan’s largest shopping mall• 5-star international hotel & USGA standard golf course• Commercial areas• Gold-Class cinemas • State-of- the-art sports facilities• World-class school, college and International University• International standard hospital• International theme park, play-land and water-rides• Jamia mosque• Community sports club & zoo• International standard construction & infrastructure• Grid station & telephone-exchange • Transport system from Bahria Town to City Center• 100 % backup power (No Load-shedding)Spring Homes A Dream Comes True. We invite you in our open house to help us to celebrate this big accomplishment. For Overseas Pakistani Contact Us On WhatsappPlease quote Zameen. com when calling us."," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-17,5/19/2019 0:26
277,Brand New Spring Homes Available On Booking In Precinct 12,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,2 days ago,"Spring Homes: Most Luxurious House in the heart of Bahria town. - One Unit Bungalow ( Ground + 1st Floor) - Size 25x45- Modern Architect- 3 Bed With Attached Modern Bathroom- Spacious Lounge- Modern Kitchen- Dining Room, Drawing Room- Parking Spaces - Easy Payment Plan:- Total Cost : 1 Crore 30 Lac- Down Payment : 975,000- Allocation After One Month : 975,000- 20 Monthly Installment : (20* 4,55,000) 9,100,000- On Possession 15% : 1,950,000- Total Amount : 13,000,000Note: 10% discount on 100% payment up front, 05% discount on 50% payment up frontHighlights & Attractions Of Bharia Town Karachi:• Adjoining to 400 feet Jinnah Avenue• Close to World’s 3rd Largest Mosque• Backup Power Generation (Load-shedding Free)• World Class Architecture • Gated Housing Society • Landscaped Parks, Cycling & Jogging Tracks for Active Living• Mosques, Commercial Centers and Graveyards• Shuttle Transport• 25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway• 9Km from Super-Highway toll plaza• Master-planned gated community• Advanced security & rescue services• Pakistan’s largest shopping mall• 5-star international hotel & USGA standard golf course• Commercial areas• Gold-Class cinemas • State-of- the-art sports facilities• World-class school, college and International University• International standard hospital• International theme park, play-land and water-rides• Jamia mosque• Community sports club & zoo• International standard construction & infrastructure• Grid station & telephone-exchange • Transport system from Bahria Town to City Center• 100 % backup power (No Load-shedding)Spring Homes A Dream Comes True. We invite you in our open house to help us to celebrate this big accomplishment. For Overseas Pakistani Contact Us On WhatsappPlease quote Zameen. com when calling us."," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-17,5/19/2019 0:26
278,Brand New House Available On Booking In Spring Homes Precinct 12,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,2 days ago,"Spring Homes: Most Luxurious House in the heart of Bahria town. - One Unit Bungalow ( Ground + 1st Floor) - Size 25x45- Modern Architect- 3 Bed With Attached Modern Bathroom- Spacious Lounge- Modern Kitchen- Dining Room, Drawing Room- Parking Spaces - Easy Payment Plan:- Total Cost : 1 Crore 30 Lac- Down Payment : 975,000- Allocation After One Month : 975,000- 20 Monthly Installment : (20* 4,55,000) 9,100,000- On Possession 15% : 1,950,000- Total Amount : 13,000,000Note: 10% discount on 100% payment up front, 05% discount on 50% payment up frontHighlights & Attractions Of Bharia Town Karachi:• Adjoining to 400 feet Jinnah Avenue• Close to World’s 3rd Largest Mosque• Backup Power Generation (Load-shedding Free)• World Class Architecture • Gated Housing Society • Landscaped Parks, Cycling & Jogging Tracks for Active Living• Mosques, Commercial Centers and Graveyards• Shuttle Transport• 25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway• 9Km from Super-Highway toll plaza• Master-planned gated community• Advanced security & rescue services• Pakistan’s largest shopping mall• 5-star international hotel & USGA standard golf course• Commercial areas• Gold-Class cinemas • State-of- the-art sports facilities• World-class school, college and International University• International standard hospital• International theme park, play-land and water-rides• Jamia mosque• Community sports club & zoo• International standard construction & infrastructure• Grid station & telephone-exchange • Transport system from Bahria Town to City Center• 100 % backup power (No Load-shedding)Spring Homes A Dream Comes True. We invite you in our open house to help us to celebrate this big accomplishment. For Overseas Pakistani Contact Us On WhatsappPlease quote Zameen. com when calling us."," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-17,5/19/2019 0:26
279,Brand New House Available On Booking In Spring Homes Ali Block,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,5 Marla,For Sale,3,2 days ago,"Spring Homes: Most Luxurious House in the heart of Bahria town. - One Unit Bungalow ( Ground + 1st Floor) - Size 25x45- Modern Architect- 3 Bed With Attached Modern Bathroom- Spacious Lounge- Modern Kitchen- Dining Room, Drawing Room- Parking Spaces - Easy Payment Plan:- Total Cost : 1 Crore 30 Lac- Down Payment : 975,000- Allocation After One Month : 975,000- 20 Monthly Installment : (20* 4,55,000) 9,100,000- On Possession 15% : 1,950,000- Total Amount : 13,000,000Note: 10% discount on 100% payment up front, 05% discount on 50% payment up frontHighlights & Attractions Of Bharia Town Karachi:• Adjoining to 400 feet Jinnah Avenue• Close to World’s 3rd Largest Mosque• Backup Power Generation (Load-shedding Free)• World Class Architecture • Gated Housing Society • Landscaped Parks, Cycling & Jogging Tracks for Active Living• Mosques, Commercial Centers and Graveyards• Shuttle Transport• 25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway• 9Km from Super-Highway toll plaza• Master-planned gated community• Advanced security & rescue services• Pakistan’s largest shopping mall• 5-star international hotel & USGA standard golf course• Commercial areas• Gold-Class cinemas • State-of- the-art sports facilities• World-class school, college and International University• International standard hospital• International theme park, play-land and water-rides• Jamia mosque• Community sports club & zoo• International standard construction & infrastructure• Grid station & telephone-exchange • Transport system from Bahria Town to City Center• 100 % backup power (No Load-shedding)Spring Homes A Dream Comes True. We invite you in our open house to help us to celebrate this big accomplishment. For Overseas Pakistani Contact Us On WhatsappPlease quote Zameen. com when calling us."," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Karachi-2-17,5/19/2019 0:26
280,Here Is A Good Opportunity To Live In A Well-built Villa In Bahria Town Karachi,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,PKR   1.68 Crore,"Bahria Town Karachi, Karachi, Sindh",4,14 Marla,For Sale,4,2 days ago,"A beautifully designed and constructed 350 Square Yards House in Bahria Town Karachi sports city Villa For Sale. Location: Bahria Town, sports city Location. General location very prime location It is sure to be a profitable deal for any genuine client. Community Features:Master-planned gated communityAdvanced security & rescue servicesPakistan largest shopping mall5-star international hotel & USGA standard golf courseCommercial areasGold-Class cinemas State-of- the-art sports facilitiesWorld-class school, college and International UniversityInternational standard hospitalInternational theme park, play-land and water-ridesWonders of the world monuments (Eiffel Tower, Taj-Mahal and Statue of Liberty)Jamiah MosqueLandscaped parksCommunity sports club & zooInternational standard construction & infrastructureGrid station & telephone-exchange Transport system from Bahria Town to City Center100 % backup power (No Load-shedding)Own Money Change as per Market A Master-Planned Community with World-Class Infrastructure and FacilitiesProject Attraction: Bahria Town signature facilities and modern infrastructureProject Type: Master-planned community Project Status: Possession Handover has been started. Ideal Location | Unbelievable Prices25 minutes from Jinnah International Airport, Connected through Malir Cantt via 6 lane expressway9Km from Super-Highway toll plaza20 minutes from City Center via metro bus. Contact us for more details. , Bahria Sports City, Karachi is available for Sale. The House features 4 beds, finished with fine material and designed for a comfortable living experience. The 4 baths also come with fine fittings and high quality tiles. For a House that has addressed every tiny detail to offer the residents complete peace of mind, the price tag of 1 crore 68 lac PKR (Pakistan) is very reasonable and attracting lots of attention, so we suggest you hurry up and give us a call."," Built in year: 00 , Parking Spaces: 1 , Flooring , Electricity Backup"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1", , , , ,,Karachi-2-17,5/19/2019 0:26
281,Outclass West Open Bungalow For Sale On Most Prime Location,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,PKR   13.5 Crore,"DHA Defence, Karachi, Sindh",-,1 Kanal,For Sale,-,11 hours ago,"Outclass westopen owner built bungalow 500 Sq Yard House for sale in Phase 8, DHA, Karachi. All of the factors which are crucial for the overall appeal of the house,such as its strategic location, aesthetic design etc. are perfect. The house has 5 bedrooms with adjoined bathrooms, kitchen, drawing & dining, TV lounge, each of which is decorated with Tile flooring which adds a nice touch to the overall structure of the house. Another key feature of the house is that it has a spacious garage, balcony with a small lush green lawn right next to it,hence giving the entrance of the house a very nice and warm look. Also, the house is located in the heart of a major area. This location is perfect for anyone and everyone as it is positioned close to major commercial areas, mosques, parks, famous restaurants making everyone's life very easy. Overall, the area exudes a sense of organized planning and disciplined construction,thus making it an excellent place to live in with your family. Phase 8 is a newly phase of DHA. It is in underdevelopment process and has number of facilities. • Number of restaurants like Mirage, Kolachi, Ambala Corniché, Nawab Darbar, BBQ Delight-Do Darya, Al-Sajjad Family Restaurant, Al Rehmat Restaurants are located near to this phase• Number of hospitals like Park Lane Hospital, Prime Health Care, One Step Diagnostic OSD, Healthways Clinic, Bluedot healthcare, Taj Medical and Vaccination Centre are located nearby. • For recreation purposes Creek Park, Ga'aya park, Captain Farhan Ali Shaheed Park, Solutions Park are also located into this phase. • For offering prayers Masjid-E-Ali, Masjid Ayesha, Mosque & Imam Bargah Baqiyat Ullah, Mubarak Masjid, Masjid-E-Bilal, Jamia Masjid Yasrab are located on few minutes' drive. • All basic facilities like water, Sui gas, electricity and drainage system is available in this phase. For further details feel free to contact us. For further details; please feel free to call. . 500 Sq Yard House for sale in Phase 6, DHA, Karachi. All of the factors which are crucial for the overall appeal of the house,such as its strategic location, aesthetic design etc. are perfect. The house has 5 bedrooms with adjoined bathrooms; kitchen, drawing & dining, TV lounge, each of which is decorated with Tile flooring which adds a nice touch to the overall structure of the house. Another key feature of the house is that it has a spacious garage, balcony with a small lush green lawn right next to it, hence giving the entrance of the house a very nice and warm look. Also, the house is located in the heart of a major area. This location is perfect for anyone and everyone as it is positioned close to major commercial areas, mosques, parks, famous restaurants making everyone's life very easy. Overall, the area exudes a sense of organized planning and disciplined construction,thus making it an excellent place to live in with your family. Give me a call for more preferences. Phase 8 is a newly phase of DHA. It is in underdevelopment process and has number of facilities. • Number of restaurants like Mirage, Kolachi, Ambala Corniché, Nawab Darbar, BBQ Delight-Do Darya, Al-Sajjad Family Restaurant, Al Rehmat Restaurants are located near to this phase• Number of hospitals like Park Lane Hospital, Prime Health Care, One Step Diagnostic OSD, Healthways Clinic, Bluedot healthcare, Taj Medical and Vaccination Centre are located nearby. • For recreation purposes Creek Park, Ga'aya park, Captain Farhan Ali Shaheed Park, Solutions Park are also located into this phase. • For offering prayers Masjid-E-Ali, Masjid Ayesha, Mosque & Imam Bargah Baqiyat Ullah, Mubarak Masjid, Masjid-E-Bilal, Jamia Masjid Yasrab are located on few minutes' drive. • All basic facilities like water, Sui gas, electricity and drainage system is available in this phase. For further details feel free to contact us. For further details; please feel free to call. ."," Built in year , Parking Spaces: 3 , Flooring , Electricity Backup , Waste Disposal , Floors , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff",hot,Karachi-2-18,5/19/2019 0:27
282,Brand New Bungalow On Most Prime Location,"DHA Phase 5, DHA Defence, Karachi, Sindh",House,PKR   15.5 Crore,"DHA Defence, Karachi, Sindh",7,1 Kanal,For Sale,6,11 hours ago,"500 Sq. Yards Brand New Bungalow  For Sale. A home of your dreams. Designed to perfection, each bungalow is a state of art and signature of a Master architect. Key features:* 6 spacious bedrooms (2+4) with attached proportional sized conceptional designed modern bathrooms. * Huge drawing and dining rooms. * Fabulous layout on ground and first floor. * Two side corner. * Shinning tiled and wooden flooring. * * Modern stylish kitchens. * Designed bathrooms with concepts and equipped with all beautiful/ imported fittings and fixtures. * Groohi fittings* Lawn. * Car porch. * Guard room on car entry gate. Give us a call for more preferences"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Powder Room  , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff",hot,Karachi-2-18,5/19/2019 0:27
283,Quaid Villa 200 Sq Yd General West Open Vip Location House For Sale,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,PKR   2 Crore,"Bahria Town Karachi, Karachi, Sindh",3,8 Marla,For Sale,3,4 days ago,"A Master-Planned Community with World-Class Infrastructure and FacilitiesProject Attraction:   Bahria Town signature facilities and modern infrastructureProject Type: Master-planned community Project Status:  Possession Handover has been started. Project Availability:Residential plots: 125,250,500,1000 and 2000 Sq. YardsCommercial plots:  125,200 and 250 Sq yardsBahria Homes:  125 and 200 Sq yardsBahria Apartments:  2,3 &4-bedIdeal Location | Unbelievable Prices•   25 minutes from Jinnah International Airport, Connected through MalirCantt via 6 lane expressway•   9Km from Super-Highway toll plaza"," Built in year: 2018 , Parking Spaces: 1 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Karachi-2-18,5/19/2019 0:27
