,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
11,House Is Available For Sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.6 Crore,"Bahria Town, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,2 days ago,"House Is Available For Sale 5 BED WITH ATTACH BATHS2 TV LOUNGE2 KITCHEND. DTERRACESERVANTBEST of best material usedLooking for an aesthetically pleasing abode for you and your family? A comfortable House spread over 1 Kanal is available for Sale! Based in , Bahria Enclave - Sector c, Islamabad, the House provides a relaxing living experience and is available at the commensurate rate of 4 crore 60 lac PKR (Pakistan). Complete with 5 beds and 5 baths the property is definitely a keeper. Please contact us for further details.", ," Bedrooms: 5 , Bathrooms: 5 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Steam Room , Lounge or Sitting Room", , ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service , Other Nearby Places", Other Facilities,hot,Islamabad-3-1,3/31/2019 23:12
12,"Brand New 10 Marla House Is Available For Sale In Sector A, Bahria Enclave , Islamabad","Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.65 Crore,"Bahria Town, Islamabad, Islamabad Capital",5,10 Marla,For Sale,5,2 days ago,"Beautifully Constructed House In The Heart Of Bahria Enclave . On Prime Location Of Secter A. 5 Bedrooms . Attached Bathrooms , 2 Kitchen , Drawing Dinning, Servant Quater, Carporch , Terrace, 2 Tv Lounge, Best Of Best Material Used  . It Is Sure To Be A Profitable DealFor More Details Please Feel Free To Contact Us."," Double Glazed Windows , Central Air Conditioning , Central Heating , Furnished"," Bedrooms: 5 , Bathrooms: 5 , Drawing Room , Dining Room , Study Room , Prayer Room , Powder Room  , Gym , Steam Room , Lounge or Sitting Room , Laundry Room", ," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi", , ,hot,Islamabad-3-1,3/31/2019 23:12
13,House Is Available For Sale,"F-10 Markaz, F-10, Islamabad, Islamabad Capital",House,PKR   9.7 Crore,"F-10, Islamabad, Islamabad Capital",7,1.5 Kanal,For Sale,7,3 hours ago,"House Is Available For Sale,Best living optionPrime and Peaceful LocationBedroom with attach bath Stylish kitchen2 T. V lounge2 D/DRoof Tarries2 gates2 Servant quartermain location,livable houseCar parking Available at Reasonable PriceCall Us For More Details.", ," Bedrooms: 7 , Bathrooms: 7 , Drawing Room , Dining Room , Kitchens: 2", , , , ,hot,Islamabad-3-1,3/31/2019 23:12
14,House Is Available For Sale,"F-10, Islamabad, Islamabad Capital",House,PKR   11 Crore,"F-10, Islamabad, Islamabad Capital",8,2 Kanal,For Sale,8,3 hours ago,"Old House Is Available For Sale At F-10,Best living optionPrime and Peaceful LocationBedroom with attach bath 2 Stylish kitchen2 T. V lounge2 D/DBasement hallCar parking Lush green lawns top locationUrgent for saleAvailable at Reasonable PriceCall Us For More Details.", ," Bedrooms: 8 , Bathrooms: 8 , Drawing Room , Dining Room , Kitchens: 2", , , , ,hot,Islamabad-3-1,3/31/2019 23:12
15,666 Sq Yards Corner New House For Sale,"F-11, Islamabad, Islamabad Capital",House,PKR   9.5 Crore,"F-11, Islamabad, Islamabad Capital",10,1.3 Kanal,For Sale,8,3 hours ago,"666 Sq Yards Corner New House For Sale - F-11  8 Bed Room, 1 Bed Room And Hall In Basement, 3 Rooms, Dd, TV Lounge, Kitchen, Servant QuarterOn Ground Floors, 4 Bed Room, Ed, Tvl, Kitchen, Servant Quarter, Lash HouseReasonable Price, Green Lawn, Fully Marbles And Tiles Flooring, Urgent For Sale Asking Price Only. 102000000/- More Detail Please Contact"," Built in year: 2012 , Parking Spaces: 6 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Floors: 3"," Bedrooms: 8 , Bathrooms: 10 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 2 , Steam Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-1,3/31/2019 23:12
16,Brand New House Is Available For Sale,"F-10, Islamabad, Islamabad Capital",House,PKR   15 Crore,"F-10, Islamabad, Islamabad Capital",8,1.3 Kanal,For Sale,8,3 hours ago,"Brand New House Is Available For Sale,Architect designBest living optionPrime and Peaceful LocationBedroom with attach bath Stylish kitchenT. V loungeD/DServant quarterModern designFully tiled flooringReasonable demand,Car parking Available at Reasonable PriceCall Us For More Details.", ," Bedrooms: 8 , Bathrooms: 8 , Drawing Room , Dining Room", , , , ,hot,Islamabad-3-1,3/31/2019 23:12
17,Brand New House Is Available For Sale,"F-11, Islamabad, Islamabad Capital",House,PKR   10.6 Crore,"F-11, Islamabad, Islamabad Capital",-,1 Kanal,For Sale,8,3 hours ago,"Brand New House Is Available For Sale  In F-11Good Location. Size: 500 Sq Yards8 Bedroom, 2 D/D, 2 TV Lounge, 2 Kitchen, 2 Servant. Main Location, Near To Park. Asking Price Only 106000000/-Reasonable Price. 	For More Detail Please Contact.", ," Bedrooms: 2 , Bathrooms: 2 , Drawing Room , Dining Room , Kitchens: 2", , , , ,hot,Islamabad-3-1,3/31/2019 23:12
18,Superb 10 Marla House For Sale In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.2 Crore,"Bahria Town, Islamabad, Islamabad Capital",5,10 Marla,For Sale,4,6 hours ago,"Excellent Interior And Exterior. Nicely Build 10 Marla House. 4Beds Double StoreyGround Floor, 1 Bed Rooms With Attach Baths. Drawing Room, TV Lounge, Powder Room And KitchenCar Porch Of 2 Cars Beautiful Entrance 1st Floor 3 Beds, Attach Baths, TV Lounge, StoreBalconies And Terrace. Servant Quarter With BathImported Fittings And FixturesIt Is The Only Housing Scheme, In Which You Can Enjoy Luxuries Of Life Very Economically. Shopping, Zoo’s, Parks, Hospital, Mosque,School, College’s, Cinema,s,Restaurants, Tennis Club Etc. For More Options Contact Us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms)"," Maintenance Staff , Security Staff",,Islamabad-3-1,3/31/2019 23:12
19,Stylish 1 Kanal House For Sale In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,6 hours ago,"Excellent interior and exterior. Nicely build 1 kanal house. 6 beds, double storey. Ground floor 3 bedroom with attach baths. Drawing and dining room, T. v lounge, powder room and kitchen. Car porch of 3 cars. Most beautiful entrance. 1st floor: 3 bed attach baths, drawing room, T. v lounge, kitchen, balconies and terrace. Servant quarter with bath. Imported fittings and fixtures. It is the only housing scheme, in which you can enjoy Luxuries of life Very economically. Shopping, Zoo’s, Parks, Hospital, Mosque, School, College’s, Cinema,s, Restaurants, Tennis Club etc. For more options contact us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-1,3/31/2019 23:12
20,1 Kanal Awesome House For Sale In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.65 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,6 hours ago,"1 kanal Awesome house for sale having nice interior and exterior. . 5 beds with attach baths. . Tiled flooring. glass windows. . Lawn. . Car porch for 3 cars. . fittings and fixtures. . Ash wood. . Balconies and terraces. . Beautiful house. It is the only housing scheme, in which you can enjoy luxuries of life very economically. Shopping, zoo, Parks, Hospital, Mosque, School, College’s, Cinema,s, restaurants and tennis club etc. Contact us for more details contact us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-1,3/31/2019 23:12
21,Stylish 10 Marla House House In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,6 hours ago,"stylish 10 Marla House For Sale. Having 5 Bedrooms, Beautiful Interior Wood Work And Color Scheme. Ground Floor:2 Bedrooms With Attach Baths, Drawing Room, Kitchen, TV Lounge And Store, Car Porch. First Floor:3 Bed With Attach Baths, Kitchen TV Lounge, Balconies And Terrace and Servant Quarter. It is the only housing scheme, in which you Can enjoy Luxuries of life very economically. Shopping, Zoo’s, Parks, Hospital, Mosque, School, College’s, Cinema’s, Restaurants, Tennis Club etc. For More Options Contact Us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-1,3/31/2019 23:12
22,Ten Marla Nicely Build House In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.1 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,6 hours ago,"nicely build 10 Marla House For Sale. Having 5 Bedrooms, Beautiful Interior Wood Work And Color Scheme. Ground Floor:2 Bedrooms With Attach Baths, Drawing Room, Kitchen, TV Lounge And Store, Car Porch. First Floor:3 Bed With Attach Baths, Kitchen TV Lounge, Balconies And Terrace and Servant Quarter. It is the only housing scheme, in which you Can enjoy Luxuries of life very economically. Shopping, Zoo’s, Parks, Hospital, Mosque, School, College’s, Cinema’s, Restaurants, Tennis Club etc. For More Options Contact Us"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-1,3/31/2019 23:12
23,1 Kanal Awesome House For Sale In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,6 hours ago,"1 kanal Awesome house for sale havingexcellent interior and exterior. . 6 beds with attach baths. . Tiled flooring. . Double glazed glass windows. . Lawn. . Car porch for 3 cars. . Imported fittings and fixtures. . Ash wood. . Balconies and terraces. . Beautiful house and beautiful location. It is the only housing scheme, in which you can enjoy luxuries of life very economically. Shopping, zoo, Parks, Hospital, Mosque, School, College’s, Cinema,s, restaurants and tennis club etc. Contact us for more details"," Built in year: 2018 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-1,3/31/2019 23:12
24,i8 Prime location one kanal Dubel story For sale,"I-8, Islamabad, Islamabad Capital",House,PKR   8.5 Crore,"I-8, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,7 hours ago,6Bedroom with Attach Bathroom Daring Dining T. v. lounge Dubel kichan sarvent with Two Gate For More information call Now Note pictures will be Attach are not originals Sorry for That some privacy issues., ," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room", , , , ,,Islamabad-3-1,3/31/2019 23:12
25,13 Marla 7 Bed Amazing House For Sale In Bahria Town,"Bahria Town, Islamabad, Islamabad Capital",House,PKR   3.15 Crore,"Bahria Town, Islamabad, Islamabad Capital",8,13 Marla,For Sale,7,7 hours ago,"Luxury Thirteen Marla HouseIn Bahria town IslamabadNewly constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensNear to Grand Masjid, Park and CommercialThis house features:2 Independent portions (also suitable for renting out)7 Spacious bedrooms8 Luxury bathrooms1 drawing room2 Stylish kitchens2 Living rooms1 Servant room with attached bathEntrance lobby with stairsParking space for 3 carsFor more options and visit please contact us. N"," Built in year: 2018 , Parking Spaces: 3 , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 7 , Bathrooms: 8 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", , ," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-1,3/31/2019 23:12
