,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
204,Spanish Design 5 Marla Elegant House For Sale,"DHA Phase 5, DHA Defence, Lahore, Punjab",House,PKR   2.3 Crore,"DHA Defence, Lahore, Punjab",4,5 Marla,For Sale,4,3 days ago,"Disclaimer: We only Post original pics of house (not fake photos to get call) along with original demand of Owner. Demands are always negotiable. This is brand new 5 Marla Spanish Style house for Sale in DHA Phase 5. Very Close to Park and Main Commercial Area. Following are Salient features of house:- 4 Bedrooms- Elegant bath rooms with imported Sanitary Fittings and UV Cabinet sheets. - Kitchen having Imported Appliances- Decent Wallpapers- Elegant Chandeliers - Solid Wood Work- Beautiful DesignDirect buyers only to schedule a view please. Numerous variety of 2 Kanal, 1 Kanal, 10 Marla and 5 marla Brand new (Furnished / Non furnished) and used houses are also available. Please call to discuss in detail. Thank you"," Built in year: 2019 , Parking Spaces: 1 , Flooring"," Bedrooms: 4 , Bathrooms: 4 , Drawing Room , Dining Room , Kitchens: 2", , , , ,super hot,Lahore-1-9,3/31/2019 11:01
205,Brand New 1Kanal Beautiful House For Sale,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,PKR   4.6 Crore,"DHA Defence, Lahore, Punjab",7,1 Kanal,For Sale,5,3 days ago,"Disclaimer: We only Post original pics of house (not fake photos to get call) along with ACTUAL DEMAND. •	1 Kanal Designer’s House•	5 Bedroom With Attached Bathroom•	2 TV Lounge & Kitchen•	1 Drawing Room, Dining Room, Lobby & Powder Room•	2 Servant Rooms And 1 Store Room In Basement•	Wide Car Parking With Landscaped Grounds And Open AreasSALIENT FEATURES: •	Strong Structure Made with Best Possible Material Including Special Grade Bricks, DG Cement, And Model Steel•	5 Comfortable Bedrooms with Attached Washrooms and a Powder Room•	Kohler & Catalano Accessories With Wall Mounted Commodes and Jacuzzi in 2 Master Washrooms•	Spanish, Italian And Chinese Tiles From 4Walls And Dar Ceramics•	Vanities, Niches, Counter Tops & Kitchen Tops Are Made From Imported Corian•	Ash Wood Used For all Wood Works•	Back Walls & Led Panels Made Using Fabrics, Ash Wood And Mirrors•	Emerald Pearl Granite Used For Steps & Stairs and 12mm Wooden Laminated Floors•	Double Glazed Sahara Black Aluminum 1. 6 Gauge Windows •	Electric Dc Inverters •	Multiple Fire Places And Open Area On 1st Floor With Bar B Q And Multiple Open Areas With Planters•	All Rooms with Fall Ceilings And UV Sheets•	Imported Kitchen Fixtures By Rays / Haier Electric & Imported Accessories For Doors & Cabinets by Bagate & HMC Italy  •	Premium Imported Chandeliers And Light Fixtures•	Schneider Electric (Germany) Breakers, Polo Switches (China) And GM Cables•	Termite Proof (Bi-Flex With FMC) Numerous variety of 2 Kanal, 1 Kanal, 10 Marla and 5 marla Brand new (Furnished / Non furnished) and used houses are also available in DHA PHASE 6. Please call to discuss in detail. Thank you"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Waste Disposal"," Bedrooms: 5 , Bathrooms: 7 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room", ," Lawn or Garden , Jacuzzi", , ,super hot,Lahore-1-9,3/31/2019 11:01
206,Defence 2 Kanal Brand New With Basement Home Theater  Swimming Pool,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,PKR   15 Crore,"DHA Defence, Lahore, Punjab",7,2 Kanal,For Sale,6,4 days ago,"Zameen Offer- 06 Master Size Bed Rooms with attached bath with German Fittings. - Full Basement, Home Theater, Gim & Swimming Pool- Amazing wood work, all teak/ash wood used in bungalow- House is located near park, Commercial and masjid. - Tipple story house- Complete wiring of UPS and Generator done in the house- Solid steel work used for outside main gate- Sliding doors- Complete marble/tiled/wooden flooring- Wash rooms are completely covered by Spanish tiles- 50 ft road- All the construction near and adjacent to house - Spacious green belt- Plants all around the green belt- Beautiful lawn with complete variety of imported plants - Side streets are proper covered with tiles- House has completed according to by-laws- Imported kitchen with practical implementation of all appliances for cooking- All Work Tops of the kitchen is made by Koran - Solid steel work used in cabinets- Lights provision in all cabinets of kitchen- Complete imported appliances installed in kitchen including Cooking      Hob/Microwave/TV/Fridge- False Ceiling done all over including bed rooms/drawing/dinning and kitchen- Seepage and termite protection measurements taken during construction of the home- Protection sheets installed while building the upper portion to keep both portions cool in summers- Solid stairs built with steel frame work and granite used in outer - Main beauty of the house is the patio. Located in the middle of the house that gives an evergreen fresh feeling from all the rooms and TV loungeIntercom systemImported Crystal FaunusImported SMD LightsHD LED TVDecorated piece as modelDream Luxury BungalowEvery thing is available which consist in Modern life styleAvailable atPrime LocationComfortable placeEasy approachedNear to Huge Park And Sports Club Reasonable PriceCall Us For More Details."," Built in year: 2019 , Parking Spaces: 8 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 4 , Drawing Room , Dining Room , Kitchens: 4 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 2 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Lahore-1-9,3/31/2019 11:01
207,Brand New Double Storey House For Sale,"Jubilee Town - Block C, Jubilee Town, Lahore, Punjab",House,PKR   70 Lakh,"Jubilee Town, Lahore, Punjab",-,3 Marla,For Sale,4,4 days ago,"Are you looking for a well-built House in Jubilee Town, Lahore? If so, we have a House available for sale at Rs 7,000,000/-Near to park and mosque. The House has 4 beds, double kitchen and wooden+marble+tiles flooring.   If you have further queries in mind, please feel free to call us. Mention Zameen. com while calling.", ," Bedrooms: 4 , Kitchens: 2", , , , ,super hot,Lahore-1-9,3/31/2019 11:01
208,22 Marla Corner Full Basement Semi Furnished House For In DHA Phase 3 Lahore,"DHA Phase 3 - Block X, DHA Phase 3, DHA Defence, Lahore, Punjab",House,PKR   5 Crore,"DHA Defence, Lahore, Punjab",7,1.1 Kanal,For Sale,6,4 days ago,"* Home Estate Offer 100% Original Pictures 22 Marla Corner Full      Basement semi Furnished House For In DHA Phase 3 Lahore.  *   Basement included cenima  hall , one master bed room attached       bath,      Two servant quarterz. *  Near to Main Mosque( Masjid) of phase 3 x block  . *  Near To Becon house school. * Main approach to shibba Park, mCdonal y block and phase 3      commercail market. . *  Prime location for residence & also great opportunity for investors. *  Don""t Be DeLay ans get your Dram Home on reasonable price. * Direct meeting with owner . * Home estate Serving Since 2002 . * We are available 24/7 Kinldy mentioned zameen. com when you call or    message regading this property."," Built in year: 2019 , Parking Spaces: 4 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features , Furnished"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 3 , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 2 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",super hot,Lahore-1-9,3/31/2019 11:01
209,Brand New 1 Kanal Outclass Bungalow For Sale In Dha Phase 5,"DHA Phase 5 - Block J, DHA Phase 5, DHA Defence, Lahore, Punjab",House,PKR   4.65 Crore,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,4 days ago,"• Home Estate Offers Brand New Superb Banglow For Sale . *    Opportunity for investors and House is splending for living       purpose. *   Ideal for living. This house has following qualities.       It contains 5 bedrooms with attached bath.       Jacuzzi Spanish tiled .       Marvelous drawing, dining and TV lounge.       Splendid granite marble+ wooden flooring.             Imported kitchen with full accessories.       Ash Wood work.       Basement 1 servant quarter Car parking area.       Lush green party lawn.  * For more details to know about this property please contact us 24/7 and mentioned zameen when you call or message."," Built in year: 2018 , Parking Spaces: 4 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Sauna , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",super hot,Lahore-1-9,3/31/2019 11:01
210,10 Marla Corner Facing Park Beautiful House For Sale In OVS B Block Bahria Town Lahore,"Bahria Town - Overseas B, Bahria Town - Overseas Enclave, Bahria Town, Lahore, Punjab",House,PKR   2.3 Crore,"Bahria Town, Lahore, Punjab",7,10 Marla,For Sale,5,4 days ago,Red Eagle Marketing & BuildersModern Architecture House in very Ideal Location=> 5 Beds=> 7 Washroom=> Facing Park=> Ideal Location=> Corner=> Owner Built=> Guaranteed MaterialCall us for Further Details.," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Floors: 2"," Bedrooms: 5 , Bathrooms: 7 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room", Intercom, Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff",super hot,Lahore-1-9,3/31/2019 11:01
211,Dha Lahore Phase 3  One Kanal Full Basement Full Furnished Brand New House Near Y Block,"DHA Phase 3, DHA Defence, Lahore, Punjab",House,PKR   4.98 Crore,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,16 hours ago,"About Phase 3, DHA Lahore:• Location: Phase 3 is one of the most developed sectors of DHA Lahore that is located near Khayaban-e-Iqbal. It can easily be accessed via the Defence Road and Walton Road while the Airport road and Ghazi road are located at just a few minutes' drive. • Education Institutes: The Famous Beacon house school system, Ibn-e-Sina School, The Educators, DHA Primary School, Brick School, Head Starters, Lingua Home, Lahore Grammar School are located fairly close. • Hospitals: Khalid Specialist Hospital, KKT Orthopedic Spine Center, Nearest Hospital, Rasheed Hospital, Defense National Hospital and many other medical centers are located at just a few minutes’ drive. • Shopping Centers and Markets:: The famous Y Block Market, Sector W Market, Darussalam Islamic Super Market, Al Fatah Shopping Mall, Furnishers, and many others are found here. • Restaurants: McDonalds, Nandos, Gourmet Grill, Domino's Pizza, Bundu Khan, Dunkin Donuts, Bar. B. Q Tonight, Subway, Gloria Jeans and many others area located in the same phase. • Parks and Mosques:: Phase 4 Park, Sheeba Park, Firdous Park, Jamia Mosques, Z-Block Mosque, Fort Villas Mosques, Phase 4 Mosque and many other parks are located here. Other Features About The Property: -•	05 Master Size Bed Rooms with attached bath•	Amazing wood work, all teak wood/ash wood used in bungalow•	House is located near park/mosque•	Double story house•	Total covered area of house is about 2300 sq ft•	Complete wiring of UPS and Generator done in the house •	Solid steel work used for outside main gate•	Sliding doors •	Complete marble/tiled/wooden flooring •	Wash rooms are completely covered by Spanish tiles•	50 ft road •	All the construction near and adjacent to house is new •	Spacious green belt •	Planters all around the green belt •	Beautiful lawn with complete variety of planters •	Side streets are proper covered with tiles •	Facing Park •	House is completed according to by-laws •	Imported kitchen with practical implementation of all appliances for cooking •	Top Corian used in kitchen •	Solid steel work used in cabinets •	Lights provision in all cabinets of kitchen •	Complete imported appliances installed in kitchen including Cooking Hob/Microwave/TV•	Fall Ceiling done all over including bed rooms/drawing/dinning and kitchen •	Seepage protection given while constructing the home •	Protection sheets installed while building the upper portion to keep both portions cool in summers•	Solid stairs built with steel frame work and granite used in outer •	Main beauty of the house is the patio. •	Located in the mid of house that gives a evergreen fresh feeling from all the rooms and tv lounge•	Washing area is elegantly managed at the back side of house •	Servant quarter with attached bath. •	A mid size family can easily live in it. •	Good sizes of washrooms with large wardrobes in it. •	Rain showers are installed in washrooms •	Superb elevation•	Exclusive views from the terrace•	Spacious terrace where one can easily have good walk and reasonable sitting area. •	Underground water tank installed. •	Club Community Center and graveyard is just 5 minutes away. •	All the basic necessities of life are available. Contact Us for Further Details."," Built in year: 2018 , Parking Spaces: 4 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features , Furnished"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 2 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Lahore-1-9,3/31/2019 11:01
212,Dha Lahore - One Kanal Brand New Double Height Lobby House,"DHA Phase 4, DHA Defence, Lahore, Punjab",House,PKR   4.59 Crore,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,6,16 hours ago,"About Phase 4, DHA Lahore:• Location: Phase 4 is one of the most developed sectors of DHA Lahore that is located near Khayaban-e-Iqbal. It can easily be accessed via the Defence Road and Walton Road while the Airport road and Ghazi road are located at just a few minutes' drive. • Education Institutes: The Famous Beacon house school system, Ibn-e-Sina School, The Educators, DHA Primary School, Brick School, Head Starters, Lingua Home, Lahore Grammar School are located fairly close. • Hospitals: Khalid Specialist Hospital, KKT Orthopedic Spine Center, Nearest Hospital, Rasheed Hospital, Defense National Hospital and many other medical centers are located at just a few minutes’ drive. • Shopping Centers and Markets:: The famous Y Block Market, Sector W Market, Darussalam Islamic Super Market, Al Fatah Shopping Mall, Furnishers, and many others are found here. • Restaurants: McDonalds, Nandos, Gourmet Grill, Domino's Pizza, Bundu Khan, Dunkin Donuts, Bar. B. Q Tonight, Subway, Gloria Jeans and many others area located in the same phase. • Parks and Mosques:: Phase 4 Park, Sheeba Park, Firdous Park, Jamia Mosques, Z-Block Mosque, Fort Villas Mosques, Phase 4 Mosque and many other parks are located here. Other Features About The Property: -•	05 Master Size Bed Rooms with attached bath•	Amazing wood work, all teak wood/ash wood used in bungalow•	House is located near park/mosque•	Double story house•	Total covered area of house is about 2300 sq ft•	Complete wiring of UPS and Generator done in the house •	Solid steel work used for outside main gate•	Sliding doors •	Complete marble/tiled/wooden flooring •	Wash rooms are completely covered by Spanish tiles•	50 ft road •	All the construction near and adjacent to house is new •	Spacious green belt •	Planters all around the green belt •	Beautiful lawn with complete variety of planters •	Side streets are proper covered with tiles •	Facing Park •	House is completed according to by-laws •	Imported kitchen with practical implementation of all appliances for cooking •	Top Corian used in kitchen •	Solid steel work used in cabinets •	Lights provision in all cabinets of kitchen •	Complete imported appliances installed in kitchen including Cooking Hob/Microwave/TV•	Fall Ceiling done all over including bed rooms/drawing/dinning and kitchen •	Seepage protection given while constructing the home •	Protection sheets installed while building the upper portion to keep both portions cool in summers•	Solid stairs built with steel frame work and granite used in outer •	Main beauty of the house is the patio. •	Located in the mid of house that gives a evergreen fresh feeling from all the rooms and tv lounge•	Washing area is elegantly managed at the back side of house •	Servant quarter with attached bath. •	A mid size family can easily live in it. •	Good sizes of washrooms with large wardrobes in it. •	Rain showers are installed in washrooms •	Superb elevation•	Exclusive views from the terrace•	Spacious terrace where one can easily have good walk and reasonable sitting area. •	Underground water tank installed. •	Club Community Center and graveyard is just 5 minutes away. •	All the basic necessities of life are available. Contact Us for Further Details."," Built in year: 2018 , Parking Spaces: 4 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Other Main Features , Furnished"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 2 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Lahore-1-9,3/31/2019 11:01
213,10 Marla Slightly Used Bungalow In Phase 3 Near To McDonald Main Commercial Big Park Mosque Ibne Sina,"DHA Phase 3, DHA Defence, Lahore, Punjab",House,PKR   2.6 Crore,"DHA Defence, Lahore, Punjab",5,10 Marla,For Sale,4,18 hours ago,"10 Marla Slightly Used Bungalow in Phase 3 Near to McDonald, Main Commercial, Big Park& mosque, Ibne Sina. Features of this bungalow are as follow. • Parks: central Parks are in the same phase for refreshment of kids and families. • Mosques: Mosques with really peaceful environment. • Educational Institutes: LSC Academy, SICAS, Govt. Schools and many other educational institutes. • Postal Services: Pakistan Post Office, Plants Nursery also found in the same phase. • Commercial Areas: McDonald and some other shopping malls are also on few minute drive. • Other Facilities: All other facilities like Electricity, Sui Gas and Sewerage are available. Property Overview• 04 Master Size Bed Rooms with attached bath• 1 huge size TV lounge• 2 kitchens• Huge parking space • All baths are equipped with imported fittings• House is located near park/mosque• Commercial area is very near to premises • Double story house• Complete wiring of UPS and Generator done in the house• Solid steel work used for outside main gate• Complete marble/tiled/wooden flooring• Wash rooms are completely covered by Spanish tiles• 50 ft road• All the construction near and adjacent to house is new • Spacious green belt• Side streets are proper covered with tiles• House is completed according to DHA by-laws• Solid steel work used in cabinets• Fall Ceiling done all over including bed rooms/drawing/dinning and kitchen• Seepage protection given while constructing the home• Protection sheets installed while building the upper portion to keep both portions cool in summers• Double glace windows for sound proofing• Solid stairs built with steel frame work and granite used in outer • Washing area is elegantly managed at the back side of house• Servant quarter with attached bath. A mid size family can easily live in it. • Double Glace Windows for Sound Proofing. Contact For Further Details"," Built in year: 2016 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 1 , Other Main Features"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Lahore-1-9,3/31/2019 11:01
214,2 Kanal Spanish Designed Bungalow Facing Park Beautiful Elevation On Very Hot Prime Location Y Block Dha Phase 3 Lahore Cantt,"DHA Phase 3, DHA Defence, Lahore, Punjab",House,PKR   13.5 Crore,"DHA Defence, Lahore, Punjab",7,2 Kanal,For Sale,6,18 hours ago,Syed brothers a renowned name in DHA Real Estate. Providing a wide range of Bungalows and Plots for sale. Syed Brothers offering a 2 kanal Spanish Designed Bungalow situated near to Park in very expensive and hottest Location in Phase 3 DHA . DHA Phase 3 a beautiful Fully Planned and most Expensive Phase in DHA providing a vast range of high commercial brands and Food chains in Phase 3. 2 Kanal Spanish Designed Bungalow facing park beautiful Elevation on very hot prime location Y block DHA Phase 3 Lahore Cantt. Features of this precious Bungalow are as follow. 6 Master Bedroom with attached Fully Tilled Tub Baths with imported Raining Showers. Beautiful Drawing Dining with Beautiful Media Wall designed3 beautiful designed Company Kitchens7+ Wide Cars Parking SpaceWide and Beautiful Balcony for High Tea and Buffet3 Store and Servant Quarterbungalow is located on very hot Prime Location near to main Commercial Area and Park. For more details Call us. Please contact us for other property inquiry.," Built in year: 2014 , Parking Spaces: 7 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 1 , Other Main Features , Furnished"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 3 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 2 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Lahore-1-9,3/31/2019 11:01
215,Note 2 Kanal Solid Architectural Designed On Very Hot Prime Location And Main Commercial Area In Phase 3 Dha Lahore Cantt,"DHA Phase 3, DHA Defence, Lahore, Punjab",House,PKR   19.5 Crore,"DHA Defence, Lahore, Punjab",6,2 Kanal,For Sale,5,18 hours ago,"Note: 2 Kanal Solid Architectural Designed on very hot prime location and main commercial area in Phase 3 DHA Lahore Cantt. Always dreamed of a House in DHA, Lahore. Features of this beautiful Bungalow are as follow. 5 Master Bedroom with attached fully tilled tub baths with imported Jacuzzi and Imported raining showers. Beautiful Drawing Dining and TV Launch3 beautiful company kitchens. Wise study room with beautiful terrace with beautiful elevation. wide car parking space with beautiful green belt on wide lawn. located on very hot prime location. Genuine clients who are interested in examining this property should get in touch straightaway so that unique this opportunity could be availed. Its the right time to invest your hard earned money in a safe and secure place. Contact us for more details."," Built in year: 2018 , Parking Spaces: 7 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 1 , Other Main Features , Furnished"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 3 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Lahore-1-9,3/31/2019 11:01
216,Original Pics Attache A Beautiful 2 Kanal House For Sale By Famous Architect Mazhar Munir Design With Swimming Pool,"DHA Phase 3, DHA Defence, Lahore, Punjab",House,PKR   18.25 Crore,"DHA Defence, Lahore, Punjab",6,2 Kanal,For Sale,5,18 hours ago,"Note: Original Pics attached a beautiful 2 Kanal Bungalow with swimming pool by famous architect Mazhar Munir. Always dreamed of a House in DHA, Lahore. Features of this beautiful Bungalow are as follow. 5 Master Bedroom with attached fully tilled tub baths with imported Jacuzzi and Imported raining showers. Beautiful Drawing Dining and TV Launch3 beautiful company kitchens. Wise study room with beautiful terrace with beautiful elevation. wide car parking space with beautiful green belt on wide lawn. located on very hot prime location. Genuine clients who are interested in examining this property should get in touch straightaway so that unique this opportunity could be availed. Its the right time to invest your hard earned money in a safe and secure place. Contact us for more details."," Built in year: 2019 , Parking Spaces , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 1 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 3 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Lahore-1-9,3/31/2019 11:01
